"","Speaker","Listener","Lines","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Lemma"
"1","OLD MAN","KIDS","Bloody kids.  ","bloody kids.  ","bloody kids.  ","bloody kids.  ","bloody kids  ","bloody kids  ","bloody kids ","bloody kid"
"2","WORMTAIL","VOLDEMORT","Oh no no no my Lord Voldemort. I only meant... perhaps if we were to do it without the boy..","oh no no no my lord voldemort. i only meant... perhaps if we were to do it without the boy..","oh no no no my lord voldemort. i only meant... perhaps if we were to do it without the boy..","oh     lord voldemort.   meant... perhaps       without  boy..","oh     lord voldemort   meant perhaps       without  boy","oh     lord voldemort   meant perhaps       without  boy","oh lord voldemort meant perhaps without boy","oh lord voldemort mean perhaps without boy"
"3","VOLDEMORT","WORMTAIL","NO! The boy is everything, it cannot be done without him and it WILL be done exactly as I say.","no! the boy is everything, it cannot be done without him and it will be done exactly as i say.","no! the boy is everything, it cannot be done without him and it will be done exactly as i say.","!  boy  everything,    done without    will  done exactly   say.","  boy  everything    done without    will  done exactly   say","  boy  everything    done without    will  done exactly   say"," boy everything done without will done exactly say","boy everything do without will do exactly say"
"4","UNKNOWN MAN","VOLDEMORT","I will not disappoint you my lord.  ","i will not disappoint you my lord.  ","i will not disappoint you my lord.  "," will  disappoint   lord.  "," will  disappoint   lord  "," will  disappoint   lord  "," will disappoint lord ","will disappoint lord"
"5","VOLDEMORT","WORMTAIL","Good. First, gather our old comrades. Send them a sign. ","good. first, gather our old comrades. send them a sign. ","good. first, gather our old comrades. send them a sign. ","good. first, gather  old comrades. send   sign. ","good first gather  old comrades send   sign ","good first gather  old comrades send   sign ","good first gather old comrades send sign ","good first gather old comrade send sign"
"6","VOLDEMORT","WORMTAIL","Nagini tells me the old caretaker is standing outside the door. ","nagini tells me the old caretaker is standing outside the door. ","nagini tells me the old caretaker is standing outside the door. ","nagin tells   old caretaker  standing outside  door. ","nagin tells   old caretaker  standing outside  door ","nagin tells   old caretaker  standing outside  door ","nagin tells old caretaker standing outside door ","nagin tell old caretaker stand outside door"
"7","VOLDEMORT","WORMTAIL","Step aside so I can give our guest a proper greeting. ","step aside so i can give our guest a proper greeting. ","step aside so i can give our guest a proper greeting. ","step aside   can give  guest  proper greeting. ","step aside   can give  guest  proper greeting ","step aside   can give  guest  proper greeting ","step aside can give guest proper greeting ","step aside can give guest proper greet"
"8","HERMIONE","HARRY","Harry!  ","harry!  ","harry!  ","harry!  ","harry  ","harry  ","harry ","harry"
"9","HERMIONE","HARRY","Are you alright?  ","are you alright?  ","are you alright?  ","  alright?  ","  alright  ","  alright  "," alright ","alright"
"10","HARRY","HERMIONE","Hermione. Bad dream. When did you get here? ","hermione. bad dream. when did you get here? ","hermione. bad dream. when did you get here? ","hermione. bad dream.    get ? ","hermione bad dream    get  ","hermione bad dream    get  ","hermione bad dream get ","hermione bad dream get"
"11","HERMIONE","HARRY","Just now. You?  ","just now. you?  ","just now. you?  ","just now. ?  ","just now   ","just now   ","just now ","just now"
"12","HARRY","HERMIONE","Last night.  ","last night.  ","last night.  ","last night.  ","last night  ","last night  ","last night ","last night"
"13","HERMIONE","RON","Wake up. Wake up Ronald!  ","wake up. wake up ronald!  ","wake up. wake up ronald!  ","wake . wake  ronald!  ","wake  wake  ronald  ","wake  wake  ronald  ","wake wake ronald ","wake wake ronald"
"14","RON","HERMIONE","Bloody hell.  ","bloody hell.  ","bloody hell.  ","bloody hell.  ","bloody hell  ","bloody hell  ","bloody hell ","bloody hell"
"15","HERMIONE","RON","Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready.","honestly. get dressed, and don't go back to sleep. come on ron! your mother says breakfast's ready.","honestly. get dressed, and don't go back to sleep. come on ron! your mother says breakfast's ready.","honestly. get dressed,   go back  sleep. come  ron!  mother says breakfast's ready.","honestly get dressed   go back  sleep come  ron  mother says breakfasts ready","honestly get dressed   go back  sleep come  ron  mother says breakfasts ready","honestly get dressed go back sleep come ron mother says breakfasts ready","honestly get dress go back sleep come ron mother say breakfast ready"
"16","HARRY","HERMIONE","Where are we actually going?  ","where are we actually going?  ","where are we actually going?  ","   actually going?  ","   actually going  ","   actually going  "," actually going ","actually go"
"17","RON","ARTHUR","Don't know. Hey Dad! Where are we going?  ","don't know. hey dad! where are we going?  ","don't know. hey dad! where are we going?  "," know. hey dad!    going?  "," know hey dad    going  "," know hey dad    going  "," know hey dad going ","know hey dad go"
"18","ARTHUR","AMOS","Haven't the foggiest, keep up!  ","haven't the foggiest, keep up!  ","haven't the foggiest, keep up!  ","  foggiest, keep !  ","  foggiest keep   ","  foggiest keep   "," foggiest keep ","foggy keep"
"19","AMOS","ARTHUR","Arthur! It's about time son.  ","arthur! it's about time son.  ","arthur! it's about time son.  ","arthur!   time son.  ","arthur   time son  ","arthur   time son  ","arthur time son ","arthur time son"
